YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE1,SCORE2,STADIUM,LOCATION,WINNER
2020,04,29,2,14,두산,키움,6,10,고척,서울,키움
2020,04,29,2,14,롯데,NC,4,1,창원,창원,롯데
2020,04,29,2,14,LG,한화,4,3,대전,대전,LG
2020,04,29,2,14,KT,SK,4,0,문학,인천,KT
2020,04,29,2,14,KIA,삼성,4,3,대구,대구,KIA
2020,04,27,0,18,NC,KIA,6,8,광주,광주,KIA
2020,04,27,0,18,LG,키움,2,3,고척,서울,키움
2020,04,27,0,14,두산,SK,7,5,문학,인천,두산
2020,04,27,0,14,롯데,삼성,12,5,대구,대구,롯데
2020,04,27,0,14,KT,한화,3,3,대전,대전,0
2020,04,25,5,18,SK,키움,2,8,고척,서울,키움
2020,04,25,5,18,KT,두산,1,8,잠실,서울,두산
2020,04,25,5,18,KIA,NC,1,2,창원,창원,NC
2020,04,25,5,14,한화,삼성,0,3,대구,대구,삼성
2020,04,24,4,18,NC,롯데,3,11,사직,부산,롯데
2020,04,24,4,14,SK,LG,4,3,잠실,서울,SK
2020,04,23,3,18,삼성,롯데,5,3,사직,부산,삼성
2020,04,23,3,14,KIA,한화,6,6,대전,대전,0
2020,04,22,2,18,LG,KT,3,10,수원,수원,KT
2020,04,22,2,13,키움,두산,0,5,잠실,서울,두산
2020,04,21,1,18,롯데,NC,8,0,창원,창원,롯데
2020,04,21,1,14,키움,SK,3,6,문학,인천,SK
2020,04,21,1,14,삼성,KIA,4,2,광주,광주,삼성
2020,04,21,1,14,두산,LG,2,5,잠실,서울,LG
2020,04,21,1,14,한화,KT,2,4,수원,수원,KT
