YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER
2017,09,12,1,18,한화,삼성,대구,대구,한화
2017,09,10,6,14,키움,SK,문학,인천,SK
2017,09,10,6,14,삼성,KIA,광주,광주,삼성
2017,09,10,6,14,두산,LG,잠실,서울,두산
2017,09,10,6,14,NC,한화,대전,대전,NC
2017,09,10,6,14,롯데,KT,수원,수원,롯데
2017,09,9,5,17,키움,SK,문학,인천,SK
2017,09,9,5,17,삼성,KIA,광주,광주,KIA
2017,09,9,5,17,두산,LG,잠실,서울,LG
2017,09,9,5,17,NC,한화,대전,대전,한화
2017,09,9,5,17,롯데,KT,수원,수원,KT
2017,09,8,4,18,삼성,롯데,사직,부산,롯데
2017,09,8,4,18,SK,NC,마산,창원,NC
2017,09,8,4,18,LG,키움,고척,서울,LG
2017,09,8,4,18,KT,두산,잠실,서울,두산
2017,09,8,4,18,한화,KIA,광주,광주,KIA
2017,09,7,3,18,삼성,롯데,사직,부산,삼성
2017,09,7,3,18,SK,NC,마산,창원,NC
2017,09,7,3,18,LG,키움,고척,서울,0
2017,09,7,3,18,KT,두산,잠실,서울,KT
2017,09,7,3,18,한화,KIA,광주,광주,한화
2017,09,6,2,18,키움,KT,수원,수원,KT
2017,09,6,2,18,두산,한화,대전,대전,두산
2017,09,6,2,18,KIA,LG,잠실,서울,LG
2017,09,5,1,18,키움,KT,수원,수원,KT
2017,09,5,1,18,두산,한화,대전,대전,한화
2017,09,5,1,18,NC,삼성,대구,대구,삼성
2017,09,5,1,18,롯데,SK,문학,인천,SK
2017,09,5,1,18,KIA,LG,잠실,서울,LG
2017,09,3,6,14,삼성,두산,잠실,서울,두산
2017,09,3,6,14,SK,KT,수원,수원,KT
2017,09,3,6,14,LG,NC,마산,창원,NC
2017,09,3,6,14,KIA,키움,고척,서울,키움
2017,09,3,6,14,한화,롯데,사직,부산,롯데
2017,09,2,5,17,삼성,두산,잠실,서울,삼성
2017,09,2,5,17,SK,KT,수원,수원,SK
2017,09,2,5,17,LG,NC,마산,창원,NC
2017,09,2,5,17,KIA,키움,고척,서울,KIA
2017,09,2,5,17,한화,롯데,사직,부산,롯데
2017,09,1,4,18,키움,LG,잠실,서울,LG
2017,09,1,4,18,삼성,SK,문학,인천,SK
2017,09,1,4,18,두산,KIA,광주,광주,KIA
2017,09,1,4,18,NC,롯데,사직,부산,롯데
2017,09,1,4,18,KT,한화,대전,대전,KT
2019,08,31,5,18,키움,NC,창원,창원,키움
2019,08,31,5,18,삼성,두산,잠실,서울,두산
2019,08,31,5,18,롯데,KIA,광주,광주,KIA
2019,08,31,5,18,LG,SK,문학,인천,LG
2019,08,31,5,18,KT,한화,대전,대전,KT
2019,08,30,4,19,KIA,NC,창원,창원,KIA
2019,08,30,4,18,SK,삼성,대구,대구,SK
2019,08,30,4,18,두산,KT,수원,수원,두산
2019,08,30,4,18,롯데,키움,고척,서울,키움
2019,08,30,4,18,한화,LG,잠실,서울,한화
2019,08,29,3,18,SK,삼성,대구,대구,삼성
2019,08,29,3,18,두산,KT,수원,수원,KT
2019,08,29,3,18,롯데,키움,고척,서울,키움
2019,08,29,3,18,KIA,NC,창원,창원,NC
2019,08,28,2,18,키움,한화,청주,청주,한화
2019,08,28,2,18,삼성,KIA,광주,광주,KIA
2019,08,28,2,18,SK,두산,잠실,서울,두산
2019,08,28,2,18,LG,롯데,울산,울산,롯데
2019,08,28,2,18,KT,NC,창원,창원,KT
2019,08,27,1,18,키움,한화,청주,청주,키움
