YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,COUNT
2018,7,6,4,18,삼성,두산,6:13,잠실,서울,두산,25,0,2,52,1
2018,7,5,3,18,두산,롯데,9:2,사직,부산,두산,23,0,2,89,1
2018,7,4,2,18,두산,롯데,7:4,사직,부산,두산,24,0,4,90,1
2017,7,30,6,18,KIA,두산,4:6,잠실,서울,두산,30,0,3,54,1
2017,7,27,3,18,두산,KT,5:3,수원,수원,두산,28,0,1,66,1
2017,7,26,2,18,두산,KT,7:3,수원,수원,두산,30,0,2,53,1
2017,7,25,1,18,두산,KT,6:5,수원,수원,두산,32,0,2,65,1
2017,7,23,6,18,한화,두산,7:8,잠실,서울,두산,28,0,2,82,1
2017,7,22,5,18,한화,두산,1:17,잠실,서울,두산,31,0,2,66,1
2017,7,21,4,18,한화,두산,6:9,잠실,서울,두산,31,0,1,69,1
2017,7,20,3,18,두산,SK,14:2,문학,인천,두산,29,0,3,74,1
2017,7,18,1,18,두산,SK,6:4,문학,인천,두산,28,0,3,78,1
2017,7,13,3,18,키움,두산,4:8,잠실,서울,두산,31,0,1,59,1
2017,7,12,2,18,키움,두산,3:4,잠실,서울,두산,29,0,3,62,1
2017,7,7,4,18,두산,NC,6:1,마산,창원,두산,27,0,2,94,1
2017,7,5,2,18,KT,두산,1:3,잠실,서울,두산,31,0,4,55,1
2017,7,4,1,18,KT,두산,1:8,잠실,서울,두산,29,0,3,64,1
2019,6,28,4,18,롯데,두산,2:3,잠실,서울,두산,26,0,2,62,1
2019,6,20,3,18,NC,두산,2:14,잠실,서울,두산,24,0,3,59,1
2019,6,19,2,18,NC,두산,0:1,잠실,서울,두산,23,0,2,74,1
2019,6,18,1,18,NC,두산,7:10,잠실,서울,두산,22,0,2,69,1
2019,6,16,6,17,LG,두산,3:5,잠실,서울,두산,26,0,2,42,1
2019,6,14,4,18,LG,두산,4:7,잠실,서울,두산,26,0,2,42,1
2019,6,13,3,18,두산,한화,7:2,대전,대전,두산,28,0,2,43,1
2019,6,12,2,18,두산,한화,9:6,대전,대전,두산,26,0,1,48,1
2019,6,7,4,18,키움,두산,1:7,잠실,서울,두산,24,0,1,52,1
2019,6,5,2,18,두산,KIA,5:4,광주,광주,두산,28,0,1,54,1
2019,6,4,1,18,두산,KIA,7:2,광주,광주,두산,27,0,1,48,1
2019,6,2,6,17,두산,KT,7:4,수원,수원,두산,26,0,2,25,1
2018,6,30,5,17,KIA,두산,2:12,잠실,서울,두산,27,0,2,75,1
2018,6,28,3,18,두산,NC,9:0,마산,창원,두산,21,0,0,98,1
2018,6,27,2,18,두산,NC,6:3,마산,창원,두산,24,0,1,95,1
2018,6,24,6,17,두산,삼성,12:7,대구,대구,두산,34,0,3,22,1
2018,6,23,5,17,두산,삼성,11:4,대구,대구,두산,31,0,2,30,1
2018,6,21,3,18,키움,두산,3:9,잠실,서울,두산,27,0,3,43,1
2018,6,16,5,17,두산,한화,8:3,대전,대전,두산,28,0,2,39,1
2018,6,15,4,18,두산,한화,13:4,대전,대전,두산,24,0,5,47,1
2018,6,14,3,18,KT,두산,8:9,잠실,서울,두산,24,0,1,61,1
2018,6,13,2,18,KT,두산,4:6,잠실,서울,두산,23,0,3,63,1
